tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
133+04869,AK-4,NORTHBOUND,FOOT TRL (SOUTH),AK,VALDEZ-CORDOVA,99573,62.6577132,-145.4852376,62.8096964,-145.4975024,11.695314,18.0,America/Anchorage,P1,USA,208,2,N,4,99999,2,0,2,4,4,10,,367,44,28,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04619,AK-2,WESTBOUND,HAYSTACK DR,AK,FAIRBANKS NORTH STAR,99712,65.0005474,-147.6334142,65.0843914,-147.7257104,7.180868,52.0,America/Anchorage,P1,USA,162,4,N,3,99999,2,0,2,2,4,10,,863,69,1,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04430,DAVIS HWY,NORTHBOUND,MOUNTAIN VIEW DR,AK,ANCHORAGE,99506,61.226154,-149.778322,61.226298,-149.7783234,0.009948,1.0,America/Anchorage,P1,USA,120,4,N,4,2305,2,0,4,0,10,10,,16097,417,72,1,100,2,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04671,COLLEGE RD,WESTBOUND,AK-2/STEESE HWY,AK,FAIRBANKS NORTH STAR,99701,64.8487434,-147.6969834,64.8488486,-147.6972096,0.009843,1.0,America/Anchorage,P1,USA,177,4,N,3,28549,2,0,4,2,4,10,,17063,932,350,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04686,GAFFNEY RD,EASTBOUND,BARNETTE ST,AK,FAIRBANKS NORTH STAR,99701,64.837078,-147.726148,64.837262,-147.725448,0.025215,1.0,America/Anchorage,P1,USA,181,5,N,3,28549,2,0,4,0,10,10,,16201,774,31,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04850,AK-3,NORTHBOUND,VETERANS MEMORIAL LOOP,AK,MATANUSKA-SUSITNA,99683,62.7112152,-150.2074366,62.7455436,-150.133478,3.399993,30.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1320,170,72,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04851,AK-3,NORTHBOUND,COLORADO-BULL RIVER RD,AK,MATANUSKA-SUSITNA,99683,62.7417702,-150.1407298,63.146494,-149.421406,38.051511,32.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1286,216,141,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04852,AK-3,NORTHBOUND,DENALI--MATANUSKA-SUSITNA COUNTY BORDER,AK,MATANUSKA-SUSITNA,99729,63.1702924,-149.3871396,63.3338102,-149.1152376,14.810583,33.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1229,145,114,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04610,AK-2,WESTBOUND,BADGER RD,AK,FAIRBANKS NORTH STAR,99705,64.7611948,-147.3579106,64.8046814,-147.5657692,6.967079,39.0,America/Anchorage,P1,USA,162,1,N,1,28549,2,0,2,2,4,10,,14787,860,238,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04611,AK-2,WESTBOUND,AK-3/ROBERT J MITCHELL EXPY,AK,FAIRBANKS NORTH STAR,99703,64.8179202,-147.6589048,64.8207226,-147.6924114,1.024063,42.0,America/Anchorage,P1,USA,162,1,N,1,28549,2,0,2,2,4,10,,20759,1081,299,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04853,AK-3,NORTHBOUND,OLD HWY/MATLOCK DR,AK,DENALI,99729,63.3904504,-148.9017566,63.400099,-148.888984,0.7802,35.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1265,162,165,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04612,AK-2,WESTBOUND,AIRPORT WAY/GAFFNEY RD,AK,FAIRBANKS NORTH STAR,99703,64.8206706,-147.7001452,64.8337112,-147.7080358,1.088406,44.0,America/Anchorage,P1,USA,162,3,N,3,28549,2,0,2,2,4,10,,22468,1155,319,1,100,2,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04854,AK-3,NORTHBOUND,OTTO LAKE RD,AK,DENALI,99743,63.728462,-148.886315,63.846242,-149.013629,9.768859,38.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,2070,269,217,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04613,AK-2,WESTBOUND,COLLEGE RD,AK,FAIRBANKS NORTH STAR,99701,64.8360614,-147.7053912,64.8486518,-147.6971656,0.93105,46.0,America/Anchorage,P1,USA,162,3,N,3,28549,2,0,4,2,4,10,,24738,1352,508,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04855,AK-3,NORTHBOUND,STAMPEDE RD/LIGNITE RD,AK,DENALI,99743,63.869691,-149.021544,63.899056,-149.055865,2.365156,40.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1876,248,160,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04856,AK-3,NORTHBOUND,FERRY RD,AK,DENALI,99743,63.899056,-149.055865,64.00434,-149.138078,8.142023,41.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1876,248,160,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04614,AK-2,WESTBOUND,JOHANSEN EXPY/CITY LIGHTS BLVD,AK,FAIRBANKS NORTH STAR,99701,64.8487434,-147.6969834,64.858576,-147.676107,0.967978,47.0,America/Anchorage,P1,USA,162,3,N,3,28549,2,0,4,2,4,10,,14296,781,294,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04615,AK-2,WESTBOUND,FARMERS LOOP RD/FAIRHILL RD,AK,FAIRBANKS NORTH STAR,99712,64.859652,-147.676168,64.8671648,-147.6749236,0.525288,48.0,America/Anchorage,P1,USA,162,3,N,3,28549,2,0,4,2,4,10,,24234,1518,321,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04857,AK-3,NORTHBOUND,KOBE AG RD,AK,DENALI,99743,64.00434,-149.138078,64.21354,-149.299125,15.818092,42.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1065,141,91,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04616,AK-2,WESTBOUND,CHENA HOT SPRINGS RD/MAD RUSSIAN ST,AK,FAIRBANKS NORTH STAR,99712,64.8695194,-147.6713258,64.8844072,-147.6294432,1.752707,49.0,America/Anchorage,P1,USA,162,3,N,3,28549,2,0,4,2,4,10,,15119,947,201,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04858,AK-3,NORTHBOUND,TONSONA RD,AK,YUKON-KOYUKUK,99743,64.286289,-149.095656,64.5170144,-149.0682688,17.815098,44.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1434,129,135,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04859,AK-3,NORTHBOUND,UNNAMED STREET 1,AK,YUKON-KOYUKUK,99760,64.5575,-149.0958368,64.5781366,-149.1188344,1.691676,46.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,1601,67,20,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04617,AK-2,WESTBOUND,GOLDSTREAM RD,AK,FAIRBANKS NORTH STAR,99712,64.8921528,-147.6158044,64.942935,-147.643983,4.327812,50.0,America/Anchorage,P1,USA,162,3,N,3,99999,2,0,4,2,4,10,,6600,764,299,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04618,AK-2,WESTBOUND,OLD MURPHY DOME RD,AK,FAIRBANKS NORTH STAR,99712,64.942935,-147.643983,65.0005474,-147.6334142,4.756949,51.0,America/Anchorage,P1,USA,162,3,N,3,99999,2,0,2,2,4,10,,1613,269,155,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04608,AK-2,WESTBOUND,DAWSON RD,AK,FAIRBANKS NORTH STAR,99705,64.734304,-147.2814912,64.7407136,-147.3015756,0.739388,36.0,America/Anchorage,P1,USA,162,1,N,1,28549,2,0,2,2,4,10,,9639,589,163,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04609,AK-2,WESTBOUND,N SANTA CLAUS LN/BADGER RD,AK,FAIRBANKS NORTH STAR,99705,64.7469856,-147.3195776,64.756338,-147.3447562,0.983829,37.0,America/Anchorage,P1,USA,162,1,N,1,28549,2,0,2,2,4,10,,9729,0,0,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04442,ARCTIC BLVD,NORTHBOUND,W TUDOR RD,AK,ANCHORAGE,99503,61.180713,-149.897855,61.1808558,-149.8978526,0.009867,5.0,America/Anchorage,P1,USA,123,4,N,3,2305,2,0,4,0,10,10,,21077,1181,65,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04214,AK-1,NORTHBOUND,KALIFORNSKY BEACH RD/POLLARD LOOP RD,AK,KENAI PENINSULA,99610,60.3216462,-151.25987,60.3235838,-151.2571394,0.163495,12.0,America/Anchorage,P1,USA,65,3,N,3,99999,2,0,2,1,4,10,,5407,469,150,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04219,AK-1,NORTHBOUND,KALIFORNSKY BEACH RD/FUNNY RIVER RD,AK,KENAI PENINSULA,99669,60.4748774,-151.0842812,60.4755324,-151.0835782,0.05135,18.001,America/Anchorage,P1,USA,65,3,N,3,99998,2,0,4,1,4,10,,19084,1162,336,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04840,AK-1,NORTHBOUND,RIVER ACC,AK,VALDEZ-CORDOVA,99586,62.602443,-144.6379206,62.671342,-144.409154,8.84004,129.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,285,35,29,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04841,AK-1,NORTHBOUND,COBB LAKE TRL,AK,VALDEZ-CORDOVA,99586,62.671342,-144.409154,62.7181346,-144.0572158,12.82849,130.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,304,36,34,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04164,AK-1,SOUTHBOUND,E 6TH AVE/E 5TH AVE,AK,ANCHORAGE,99501,61.217564,-149.871017,61.216579,-149.871017,0.068046,77.0,America/Anchorage,P1,USA,65,1,N,1,2305,1,0,4,0,10,10,,13292,231,11,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04842,AK-1,NORTHBOUND,GOLDEN NORTH DR,AK,VALDEZ-CORDOVA,99586,62.716424,-143.9806494,62.8229796,-143.7039442,12.650374,132.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,312,37,35,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04600,AK-2,WESTBOUND,UNNAMED STREET 3,AK,SOUTHEAST FAIRBANKS,99737,63.5576432,-143.8848484,63.6426538,-144.0346722,7.467034,14.0,America/Anchorage,P1,USA,162,1,N,1,99999,2,0,2,2,4,10,,355,42,7,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04843,AK-1,NORTHBOUND,SOUTHEAST FAIRBANKS--VALDEZ-CORDOVA COUNTY BORDER,AK,VALDEZ-CORDOVA,99586,63.048859,-143.3642418,63.1152906,-143.3005512,5.608277,136.0,America/Anchorage,P3,USA,65,1,N,1,99999,2,0,2,1,4,10,,438,61,35,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04601,AK-2,WESTBOUND,AK-4/RICHARDSON HWY,AK,SOUTHEAST FAIRBANKS,99737,63.9820894,-145.5382362,64.0381318,-145.7329658,7.093205,23.0,America/Anchorage,P1,USA,162,1,N,1,99999,2,0,2,2,4,10,,1114,120,22,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04602,AK-2,WESTBOUND,49-APL-2 RD,AK,SOUTHEAST FAIRBANKS,99737,64.152385,-145.8423744,64.2138312,-145.9625368,5.793707,25.0,America/Anchorage,P1,USA,162,1,N,1,99999,2,0,2,2,4,10,,1098,163,114,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04844,AK-3,NORTHBOUND,PUPPY HAVEN DR,AK,MATANUSKA-SUSITNA,99623,61.6210558,-149.7980182,61.6765178,-149.9642056,7.229223,17.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,5114,464,175,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04603,AK-2,WESTBOUND,OLD RICHARDSON HWY (DELTA JUNCTION),AK,SOUTHEAST FAIRBANKS,99737,64.2597656,-146.1109768,64.2822372,-146.2756402,5.542219,27.0,America/Anchorage,P1,USA,162,1,N,1,99999,2,0,2,2,4,10,,1083,147,104,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04845,AK-3,NORTHBOUND,MONTANA CREEK RD,AK,MATANUSKA-SUSITNA,99676,61.9892338,-150.0507624,62.100567,-150.0608028,8.021502,23.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,3169,329,99,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04604,AK-2,WESTBOUND,WALT'S RD,AK,FAIRBANKS NORTH STAR,99714,64.4593932,-146.9180212,64.4703876,-146.948801,1.364823,31.0,America/Anchorage,P1,USA,162,1,N,1,99999,2,0,2,2,4,10,,2090,271,87,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04846,AK-3,NORTHBOUND,AMBER LAKE TRL,AK,MATANUSKA-SUSITNA,99676,62.1343118,-150.0396918,62.1787826,-150.185346,5.93331,25.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,2414,310,133,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04847,AK-3,NORTHBOUND,TALKEETNA TRL,AK,MATANUSKA-SUSITNA,99683,62.1787826,-150.185346,62.185621,-150.1999558,0.667185,26.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,2348,302,129,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04605,AK-2,WESTBOUND,CLEVELAND RD/HOWELL RD,AK,FAIRBANKS NORTH STAR,99714,64.4703876,-146.948801,64.5748768,-147.0454986,8.646607,32.0,America/Anchorage,P1,USA,162,1,N,1,99999,2,0,2,2,4,10,,2181,277,90,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
